"period","zone","age","measure","value"
"2008-2010","S01001790","35 And Over","Count",1
"2003-2005","S01001790","All","Count",5
"2000-2002","S01001790","35 And Over","Count",0
"2001-2003","S01001790","19 And Under","Count",0
"2007-2009","S01001790","All","Count",10
"2002-2004","S01001790","19 And Under","Count",0
"2009-2011","S01001790","35 And Over","Count",1
"2011-2013","S01001790","35 And Over","Count",1
"2001-2003","S01001790","All","Count",3
"2003-2005","S01001790","19 And Under","Count",0
"2006-2008","S01001790","All","Count",8
"2004-2006","S01001790","19 And Under","Count",0
"2005-2007","S01001790","35 And Over","Count",2
"2002-2004","S01001790","35 And Over","Count",0
"2006-2008","S01001790","35 And Over","Count",2
"2004-2006","S01001790","35 And Over","Count",0
"2005-2007","S01001790","19 And Under","Count",0
"2010-2012","S01001790","35 And Over","Count",0
"2003-2005","S01001790","35 And Over","Count",0
"2004-2006","S01001790","All","Count",6
"2006-2008","S01001790","19 And Under","Count",0
"2011-2013","S01001790","All","Count",4
"2007-2009","S01001790","35 And Over","Count",3
"2001-2003","S01001790","35 And Over","Count",0
"2005-2007","S01001790","All","Count",7
"2007-2009","S01001790","19 And Under","Count",0
"2008-2010","S01001790","19 And Under","Count",0
"2010-2012","S01001790","All","Count",7
"2009-2011","S01001790","19 And Under","Count",0
"2002-2004","S01001790","All","Count",3
"2009-2011","S01001790","All","Count",8
"2010-2012","S01001790","19 And Under","Count",0
"2000-2002","S01001790","19 And Under","Count",0
"2000-2002","S01001790","All","Count",9
"2011-2013","S01001790","19 And Under","Count",0
"2008-2010","S01001790","All","Count",10
"2001-2003","S01001790","19 And Under","Ratio",0
"2002-2004","S01001790","19 And Under","Ratio",0
"2003-2005","S01001790","19 And Under","Ratio",0
"2004-2006","S01001790","19 And Under","Ratio",0
"2005-2007","S01001790","19 And Under","Ratio",0
"2006-2008","S01001790","19 And Under","Ratio",0
"2007-2009","S01001790","19 And Under","Ratio",0
"2008-2010","S01001790","19 And Under","Ratio",0
"2009-2011","S01001790","19 And Under","Ratio",0
"2010-2012","S01001790","19 And Under","Ratio",0
"2000-2002","S01001790","19 And Under","Ratio",0
"2011-2013","S01001790","19 And Under","Ratio",0
"2003-2005","S01001790","35 And Over","Ratio",0
"2008-2010","S01001790","35 And Over","Ratio",10
"2009-2011","S01001790","35 And Over","Ratio","12.5"
"2002-2004","S01001790","35 And Over","Ratio",0
"2000-2002","S01001790","35 And Over","Ratio",0
"2004-2006","S01001790","35 And Over","Ratio",0
"2005-2007","S01001790","35 And Over","Ratio","28.57"
"2001-2003","S01001790","35 And Over","Ratio",0
"2006-2008","S01001790","35 And Over","Ratio",25
"2007-2009","S01001790","35 And Over","Ratio",30
"2011-2013","S01001790","35 And Over","Ratio",25
"2010-2012","S01001790","35 And Over","Ratio",0
"2008-2010","S01001791","35 And Over","Count",1
"2003-2005","S01001791","All","Count",7
"2000-2002","S01001791","35 And Over","Count",1
"2001-2003","S01001791","19 And Under","Count",0
"2007-2009","S01001791","All","Count",3
"2002-2004","S01001791","19 And Under","Count",0
"2009-2011","S01001791","35 And Over","Count",1
"2011-2013","S01001791","35 And Over","Count",2
"2001-2003","S01001791","All","Count",6
"2003-2005","S01001791","19 And Under","Count",0
"2006-2008","S01001791","All","Count",2
"2004-2006","S01001791","19 And Under","Count",0
"2005-2007","S01001791","35 And Over","Count",0
"2002-2004","S01001791","35 And Over","Count",1
"2006-2008","S01001791","35 And Over","Count",0
"2004-2006","S01001791","35 And Over","Count",0
"2005-2007","S01001791","19 And Under","Count",0
"2010-2012","S01001791","35 And Over","Count",3
"2003-2005","S01001791","35 And Over","Count",1
"2004-2006","S01001791","All","Count",3
"2006-2008","S01001791","19 And Under","Count",0
"2011-2013","S01001791","All","Count",8
"2007-2009","S01001791","35 And Over","Count",0
"2001-2003","S01001791","35 And Over","Count",1
"2005-2007","S01001791","All","Count",2
"2007-2009","S01001791","19 And Under","Count",0
"2008-2010","S01001791","19 And Under","Count",1
"2010-2012","S01001791","All","Count",12
"2009-2011","S01001791","19 And Under","Count",2
"2002-2004","S01001791","All","Count",8
"2009-2011","S01001791","All","Count",10
"2010-2012","S01001791","19 And Under","Count",2
"2000-2002","S01001791","19 And Under","Count",0
"2000-2002","S01001791","All","Count",7
"2011-2013","S01001791","19 And Under","Count",1
"2008-2010","S01001791","All","Count",6
"2001-2003","S01001791","19 And Under","Ratio",0
"2002-2004","S01001791","19 And Under","Ratio",0
"2003-2005","S01001791","19 And Under","Ratio",0
"2004-2006","S01001791","19 And Under","Ratio",0
"2005-2007","S01001791","19 And Under","Ratio",0
"2006-2008","S01001791","19 And Under","Ratio",0
"2007-2009","S01001791","19 And Under","Ratio",0
"2008-2010","S01001791","19 And Under","Ratio","16.67"
"2009-2011","S01001791","19 And Under","Ratio",20
"2010-2012","S01001791","19 And Under","Ratio","16.67"
"2000-2002","S01001791","19 And Under","Ratio",0
"2011-2013","S01001791","19 And Under","Ratio","12.5"
"2003-2005","S01001791","35 And Over","Ratio","14.29"
"2008-2010","S01001791","35 And Over","Ratio","16.67"
"2009-2011","S01001791","35 And Over","Ratio",10
"2002-2004","S01001791","35 And Over","Ratio","12.5"
"2000-2002","S01001791","35 And Over","Ratio","14.29"
"2004-2006","S01001791","35 And Over","Ratio",0
"2005-2007","S01001791","35 And Over","Ratio",0
"2001-2003","S01001791","35 And Over","Ratio","16.67"
"2006-2008","S01001791","35 And Over","Ratio",0
"2007-2009","S01001791","35 And Over","Ratio",0
"2011-2013","S01001791","35 And Over","Ratio",25
"2010-2012","S01001791","35 And Over","Ratio",25
"2008-2010","S01001792","35 And Over","Count",4
"2003-2005","S01001792","All","Count",6
"2000-2002","S01001792","35 And Over","Count",0
"2001-2003","S01001792","19 And Under","Count",0
"2007-2009","S01001792","All","Count",14
"2002-2004","S01001792","19 And Under","Count",0
"2009-2011","S01001792","35 And Over","Count",4
"2011-2013","S01001792","35 And Over","Count",2
"2001-2003","S01001792","All","Count",2
"2003-2005","S01001792","19 And Under","Count",0
"2006-2008","S01001792","All","Count",17
"2004-2006","S01001792","19 And Under","Count",0
"2005-2007","S01001792","35 And Over","Count",1
"2002-2004","S01001792","35 And Over","Count",0
"2006-2008","S01001792","35 And Over","Count",2
"2004-2006","S01001792","35 And Over","Count",1
"2005-2007","S01001792","19 And Under","Count",0
"2010-2012","S01001792","35 And Over","Count",3
"2003-2005","S01001792","35 And Over","Count",1
"2004-2006","S01001792","All","Count",14
"2006-2008","S01001792","19 And Under","Count",0
"2011-2013","S01001792","All","Count",11
"2007-2009","S01001792","35 And Over","Count",3
"2001-2003","S01001792","35 And Over","Count",0
"2005-2007","S01001792","All","Count",15
"2007-2009","S01001792","19 And Under","Count",0
"2008-2010","S01001792","19 And Under","Count",0
"2010-2012","S01001792","All","Count",12
"2009-2011","S01001792","19 And Under","Count",0
"2002-2004","S01001792","All","Count",3
"2009-2011","S01001792","All","Count",14
"2010-2012","S01001792","19 And Under","Count",0
"2000-2002","S01001792","19 And Under","Count",0
"2000-2002","S01001792","All","Count",4
"2011-2013","S01001792","19 And Under","Count",0
"2008-2010","S01001792","All","Count",14
"2001-2003","S01001792","19 And Under","Ratio",0
"2002-2004","S01001792","19 And Under","Ratio",0
"2003-2005","S01001792","19 And Under","Ratio",0
"2004-2006","S01001792","19 And Under","Ratio",0
"2005-2007","S01001792","19 And Under","Ratio",0
"2006-2008","S01001792","19 And Under","Ratio",0
"2007-2009","S01001792","19 And Under","Ratio",0
"2008-2010","S01001792","19 And Under","Ratio",0
"2009-2011","S01001792","19 And Under","Ratio",0
"2010-2012","S01001792","19 And Under","Ratio",0
"2000-2002","S01001792","19 And Under","Ratio",0
"2011-2013","S01001792","19 And Under","Ratio",0
"2003-2005","S01001792","35 And Over","Ratio","16.67"
"2008-2010","S01001792","35 And Over","Ratio","28.57"
"2009-2011","S01001792","35 And Over","Ratio","28.57"
"2002-2004","S01001792","35 And Over","Ratio",0
"2000-2002","S01001792","35 And Over","Ratio",0
"2004-2006","S01001792","35 And Over","Ratio","7.14"
"2005-2007","S01001792","35 And Over","Ratio","6.67"
"2001-2003","S01001792","35 And Over","Ratio",0
"2006-2008","S01001792","35 And Over","Ratio","11.76"
"2007-2009","S01001792","35 And Over","Ratio","21.43"
"2011-2013","S01001792","35 And Over","Ratio","18.18"
"2010-2012","S01001792","35 And Over","Ratio",25
"2008-2010","S01001793","35 And Over","Count",1
"2003-2005","S01001793","All","Count",14
"2000-2002","S01001793","35 And Over","Count",4
"2001-2003","S01001793","19 And Under","Count",1
"2007-2009","S01001793","All","Count",12
"2002-2004","S01001793","19 And Under","Count",0
"2009-2011","S01001793","35 And Over","Count",1
"2011-2013","S01001793","35 And Over","Count",1
"2001-2003","S01001793","All","Count",13
"2003-2005","S01001793","19 And Under","Count",0
"2006-2008","S01001793","All","Count",6
"2004-2006","S01001793","19 And Under","Count",0
"2005-2007","S01001793","35 And Over","Count",4
"2002-2004","S01001793","35 And Over","Count",1
"2006-2008","S01001793","35 And Over","Count",2
"2004-2006","S01001793","35 And Over","Count",4
"2005-2007","S01001793","19 And Under","Count",1
"2010-2012","S01001793","35 And Over","Count",0
"2003-2005","S01001793","35 And Over","Count",3
"2004-2006","S01001793","All","Count",12
"2006-2008","S01001793","19 And Under","Count",1
"2011-2013","S01001793","All","Count",3
"2007-2009","S01001793","35 And Over","Count",2
"2001-2003","S01001793","35 And Over","Count",2
"2005-2007","S01001793","All","Count",12
"2007-2009","S01001793","19 And Under","Count",1
"2008-2010","S01001793","19 And Under","Count",1
"2010-2012","S01001793","All","Count",6
"2009-2011","S01001793","19 And Under","Count",1
"2002-2004","S01001793","All","Count",12
"2009-2011","S01001793","All","Count",14
"2010-2012","S01001793","19 And Under","Count",1
"2000-2002","S01001793","19 And Under","Count",1
"2000-2002","S01001793","All","Count",14
"2011-2013","S01001793","19 And Under","Count",0
"2008-2010","S01001793","All","Count",13
"2001-2003","S01001793","19 And Under","Ratio","7.69"
"2002-2004","S01001793","19 And Under","Ratio",0
"2003-2005","S01001793","19 And Under","Ratio",0
"2004-2006","S01001793","19 And Under","Ratio",0
"2005-2007","S01001793","19 And Under","Ratio","8.33"
"2006-2008","S01001793","19 And Under","Ratio","16.67"
"2007-2009","S01001793","19 And Under","Ratio","8.33"
"2008-2010","S01001793","19 And Under","Ratio","7.69"
"2009-2011","S01001793","19 And Under","Ratio","7.14"
"2010-2012","S01001793","19 And Under","Ratio","16.67"
"2000-2002","S01001793","19 And Under","Ratio","7.14"
"2011-2013","S01001793","19 And Under","Ratio",0
"2003-2005","S01001793","35 And Over","Ratio","21.43"
"2008-2010","S01001793","35 And Over","Ratio","7.69"
"2009-2011","S01001793","35 And Over","Ratio","7.14"
"2002-2004","S01001793","35 And Over","Ratio","8.33"
"2000-2002","S01001793","35 And Over","Ratio","28.57"
